#Sample description: chromixs
#Sample: chromixs  c= 0 mg/ml  Code: chromixs
 3.546320e-002  2.353909e-002  1.681665e-004
 3.559385e-002  2.339918e-002  1.693496e-004
 3.572449e-002  2.329128e-002  1.684176e-004
 3.585514e-002  2.305449e-002  1.694898e-004
 3.598579e-002  2.333598e-002  1.683734e-004
 3.611643e-002  2.318937e-002  1.689752e-004
 3.624708e-002  2.283204e-002  1.697658e-004
 3.637773e-002  2.313045e-002  1.690030e-004
 3.650837e-002  2.306130e-002  1.715249e-004
 3.663902e-002  2.279844e-002  1.691882e-004
 3.676967e-002  2.271035e-002  1.684415e-004
 3.690031e-002  2.292891e-002  1.710340e-004
 3.703096e-002  2.283978e-002  1.691615e-004
 3.716160e-002  2.233846e-002  1.708068e-004
 3.729225e-002  2.248035e-002  1.704147e-004
 3.742290e-002  2.245146e-002  1.680238e-004
 3.755354e-002  2.278863e-002  1.717258e-004
 3.768419e-002  2.244876e-002  1.708057e-004
 3.781484e-002  2.207749e-002  1.711288e-004
 3.794548e-002  2.202045e-002  1.721604e-004
 3.807613e-002  2.222034e-002  1.695430e-004
 3.820678e-002  2.216922e-002  1.720557e-004
 3.833742e-002  2.202634e-002  1.724977e-004
 3.846807e-002  2.215111e-002  1.709564e-004
 3.859871e-002  2.195827e-002  1.730436e-004
 3.872936e-002  2.154164e-002  1.687602e-004
 3.886001e-002  2.161118e-002  1.675234e-004
 3.899065e-002  2.158405e-002  1.681190e-004
 3.912130e-002  2.171736e-002  1.655698e-004
 3.925195e-002  2.170928e-002  1.676686e-004
 3.938259e-002  2.172958e-002  1.655551e-004
 3.951324e-002  2.161490e-002  1.640784e-004
 3.964389e-002  2.109590e-002  1.654212e-004
 3.977453e-002  2.159782e-002  1.634734e-004
 3.990518e-002  2.116847e-002  1.634804e-004
 4.003583e-002  2.168135e-002  1.650722e-004
 4.016647e-002  2.128577e-002  1.619624e-004
 4.029712e-002  2.129245e-002  1.633942e-004
 4.042776e-002  2.103393e-002  1.623588e-004
 4.055841e-002  2.118176e-002  1.613704e-004
 4.068906e-002  2.117553e-002  1.634110e-004
 4.081970e-002  2.133971e-002  1.609561e-004
 4.095035e-002  2.089969e-002  1.616045e-004
 4.108100e-002  2.113219e-002  1.621041e-004
 4.121164e-002  2.095407e-002  1.598839e-004
 4.134229e-002  2.066895e-002  1.615732e-004
 4.147294e-002  2.099946e-002  1.598589e-004
 4.160358e-002  2.072261e-002  1.595844e-004
 4.173423e-002  2.073777e-002  1.602955e-004
 4.186488e-002  2.074411e-002  1.581738e-004
 4.199552e-002  2.080021e-002  1.597497e-004
 4.212617e-002  2.054981e-002  1.592822e-004
 4.225682e-002  2.073780e-002  1.576619e-004
 4.238746e-002  2.033932e-002  1.591335e-004
 4.251811e-002  2.030105e-002  1.567395e-004
 4.264875e-002  2.029360e-002  1.579052e-004
 4.277940e-002  2.021685e-002  1.583095e-004
 4.291005e-002  2.028798e-002  1.559628e-004
